CRN/Class, Course ID, Course Name, Units, Type, Days, Hours, Room, Dates, Instructor, Capacity, Enrolled, Available, Type2, Days2, Hours2, Room2, Dates2, Type3, Days3, Hours3, Room3, Dates3

Anthropology
14101,BIO-060-10D,Nutrition,0,DISC,M,5:30-6:20pm,COB2 265,18-JAN 06-MAY,Bowser Bradley,20,20,Closed
10041,BIO-101-01,Biochemistry I,4,LECT,TR,4:30-5:45pm,ACS 120,18-JAN 06-MAY,Zoghbi Maria Elena,120,113,7,EXAM,T,8:00-11:00am,ACS 120,10-MAY 10-MAY
10042,BIO-101-02D,Biochemistry I,0,DISC,W,2:30-3:20pm,GLCR 165,18-JAN 06-MAY,Garcia Michel Luisa,24,24,Closed
10043,BIO-101-03D,Biochemistry I,0,DISC,T,8:30-9:20pm,CLSSRM 264,18-JAN 06-MAY,Mendoza Maria,24,20,4
10550,BIO-101-04D,Biochemistry I,0,DISC,F,1:30-2:20pm,ADMIN 255,18-JAN 06-MAY,Garcia Michel Luisa,24,23,1
10600,BIO-101-05D,Biochemistry I,0,DISC,F,2:30-3:20pm,ADMIN 354,18-JAN 06-MAY,Garcia Michel Luisa,24,22,2
10601,BIO-101-06D,Biochemistry I,0,DISC,R,11:30-12:20pm,CLSSRM 264,18-JAN 06-MAY,Mendoza Maria,24,24,Closed
16306,BIO-101-20,Biochemistry I,4,LECT,TR,3:00-4:15pm,COB2 140,18-JAN 06-MAY,Dutagaci Bercem,96,90,6,EXAM,T,8:00-11:00am,CLSSRM 105,10-MAY 10-MAY
16307,BIO-101-21D,Biochemistry I,0,DISC,T,6:30-7:20pm,CLSSRM 266,18-JAN 06-MAY,Bogart Brandon,24,24,Closed
16308,BIO-101-22D,Biochemistry I,0,DISC,W,11:30-12:20pm,COB2 265,18-JAN 06-MAY,Bogart Brandon,24,21,3
16309,BIO-101-23D,Biochemistry I,0,DISC,W,10:30-11:20am,GRAN 130,18-JAN 06-MAY,Bogart Brandon,24,22,2
16310,BIO-101-24D,Biochemistry I,0,DISC,T,7:30-8:20pm,CLSSRM 266,18-JAN 06-MAY,Mendoza Maria,24,23,1
10044,BIO-102-01,Biochemistry II,4,LECT,TR,9:30-10:20am,GLCR 145,18-JAN 06-MAY,LiWang Andy,24,11,13,EXAM,T,3:00-6:00pm,GLCR 145,10-MAY 10-MAY
10362,BIO-102-02D,Biochemistry II,0,DISC,T,4:30-5:20pm,ADMIN 265,18-JAN 06-MAY,Staff,24,11,13
10045,BIO-102-02L,Biochemistry II,0,LAB,T,6:30-9:20pm,SCIENG 165,18-JAN 06-MAY,Staff,24,11,13
16373,BIO-110-10,The Cell,4,LECT,MW,9:00-10:15am,COB2 110,18-JAN 06-MAY,Alkhouri Jourjina / Amemiya Chris / Garcia-Ojeda Marcos,210,178,32,EXAM,T,11:30-2:30pm,COB2 110,10-MAY 10-MAY
16628,BIO-110-11D,The Cell,0,DISC,M,12:30-1:20pm,COB2 265,18-JAN 06-MAY,Larsen Shari,24,24,Closed
16629,BIO-110-12D,The Cell,0,DISC,T,11:30-12:20pm,GLCR 145,18-JAN 06-MAY,Larsen Shari,24,20,4
16630,BIO-110-13D,The Cell,0,DISC,M,1:30-2:20pm,GRAN 130,18-JAN 06-MAY,Morfin Cesar,24,22,2
16631,BIO-110-14D,The Cell,0,DISC,M,2:30-3:20pm,COB2 266,18-JAN 06-MAY,Morfin Cesar,24,24,Closed
16632,BIO-110-15D,The Cell,0,DISC,M,4:30-5:20pm,COB2 267,18-JAN 06-MAY,Morfin Cesar,24,16,8
16879,BIO-110-16D,The Cell,0,DISC,M,3:30-4:20pm,CLSSRM 270,18-JAN 06-MAY,Larsen Shari,24,20,4
16880,BIO-110-17D,The Cell,0,DISC,M,7:00-7:50pm,ADMIN 262,18-JAN 06-MAY,Garsevanyan Sona,18,8,10
16881,BIO-110-18D,The Cell,0,DISC,T,8:30-9:20am,ADMIN 354,18-JAN 06-MAY,Garsevanyan Sona,24,21,3
16882,BIO-110-19D,The Cell,0,DISC,T,1:30-2:20pm,GLCR 140,18-JAN 06-MAY,Garsevanyan Sona,24,23,1
13073,BIO-120-01,General Microbiology,4,LECT,TR,10:30-11:45am,SSB 120,18-JAN 06-MAY,Garcia-Ojeda Marcos,90,90,Closed,EXAM,S,3:00-6:00pm,SSB 120,07-MAY 07-MAY
